segment_id,measure_id,plan_type,age_band,gender,members_eligible,members_compliant,rate_pct
SEG00085,COL,PPO,65-74,M,2,1,50.0
SEG00113,MRP,MAPD,75+,M,2,1,50.0
SEG00124,SPC,DSNP,18-44,F,2,1,50.0
SEG00162,TRC,PPO,18-44,F,2,1,50.0
SEG00004,AWC,HMO,65-74,F,2,2,100.0
SEG00027,CBP,HMO,75+,F,2,2,100.0
SEG00035,CBP,PPO,18-44,F,2,2,100.0
SEG00054,CDC-H,PPO,45-64,F,2,2,100.0
SEG00080,COL,MAPD,65-74,F,2,2,100.0
SEG00106,MRP,HMO,65-74,F,2,2,100.0
SEG00125,SPC,DSNP,45-64,F,2,2,100.0
SEG00167,TRC,PPO,65-74,M,2,2,100.0
SEG00017,CBP,DSNP,18-44,M,3,0,0.0
SEG00077,COL,HMO,65-74,M,3,0,0.0
SEG00102,MRP,DSNP,65-74,F,3,0,0.0
SEG00001,AWC,DSNP,65-74,F,3,1,33.33
SEG00011,AWC,MAPD,75+,M,3,1,33.33
SEG00014,AWC,PPO,75+,F,3,1,33.33
SEG00029,CBP,MAPD,18-44,M,3,1,33.33
SEG00041,CDC-H,DSNP,18-44,F,3,1,33.33
SEG00043,CDC-H,DSNP,45-64,F,3,1,33.33
SEG00044,CDC-H,DSNP,45-64,M,3,1,33.33
SEG00055,COA,DSNP,65-74,F,3,1,33.33
SEG00073,COL,DSNP,65-74,M,3,1,33.33
SEG00078,COL,MAPD,45-64,F,3,1,33.33
SEG00109,MRP,HMO,75+,M,3,1,33.33
SEG00118,OMW,DSNP,65-74,F,3,1,33.33
SEG00136,SPC,PPO,45-64,F,3,1,33.33
SEG00154,TRC,HMO,75+,M,3,1,33.33
SEG00002,AWC,DSNP,65-74,M,3,2,66.67
SEG00003,AWC,DSNP,75+,F,3,2,66.67
SEG00015,AWC,PPO,75+,M,3,2,66.67
SEG00019,CBP,DSNP,45-64,M,3,2,66.67
SEG00046,CDC-H,HMO,18-44,F,3,2,66.67
SEG00053,CDC-H,PPO,18-44,F,3,2,66.67
SEG00066,COA,PPO,65-74,F,3,2,66.67
SEG00096,FUH,MAPD,45-64,F,3,2,66.67
SEG00116,MRP,PPO,75+,F,3,2,66.67
SEG00141,TRC,DSNP,45-64,F,3,2,66.67
SEG00151,TRC,HMO,65-74,F,3,2,66.67
SEG00168,TRC,PPO,75+,F,3,2,66.67
SEG00005,AWC,HMO,65-74,M,3,3,100.0
SEG00164,TRC,PPO,45-64,F,4,0,0.0
SEG00056,COA,DSNP,65-74,M,4,1,25.0
SEG00057,COA,DSNP,75+,F,4,1,25.0
SEG00087,FUH,DSNP,18-44,M,4,1,25.0
SEG00095,FUH,MAPD,18-44,M,4,1,25.0
SEG00123,OMW,PPO,75+,F,4,1,25.0
SEG00155,TRC,MAPD,18-44,F,4,1,25.0
SEG00010,AWC,MAPD,75+,F,4,2,50.0
SEG00072,COL,DSNP,65-74,F,4,2,50.0
SEG00093,FUH,HMO,45-64,M,4,2,50.0
SEG00103,MRP,DSNP,65-74,M,4,2,50.0
SEG00107,MRP,HMO,65-74,M,4,2,50.0
SEG00144,TRC,DSNP,65-74,M,4,2,50.0
SEG00145,TRC,DSNP,75+,F,4,2,50.0
SEG00152,TRC,HMO,65-74,M,4,2,50.0
SEG00157,TRC,MAPD,45-64,F,4,2,50.0
SEG00068,COA,PPO,75+,F,4,3,75.0
SEG00075,COL,HMO,45-64,M,4,3,75.0
SEG00076,COL,HMO,65-74,F,4,3,75.0
SEG00108,MRP,HMO,75+,F,4,3,75.0
SEG00082,COL,PPO,45-64,F,5,0,0.0
SEG00090,FUH,HMO,18-44,F,5,0,0.0
SEG00160,TRC,MAPD,75+,F,5,1,20.0
SEG00028,CBP,MAPD,18-44,F,5,2,40.0
SEG00069,COA,PPO,75+,M,5,2,40.0
SEG00070,COL,DSNP,45-64,F,5,2,40.0
SEG00092,FUH,HMO,45-64,F,5,2,40.0
SEG00094,FUH,MAPD,18-44,F,5,2,40.0
SEG00100,FUH,PPO,45-64,F,5,2,40.0
SEG00140,TRC,DSNP,18-44,M,5,2,40.0
SEG00166,TRC,PPO,65-74,F,5,2,40.0
SEG00084,COL,PPO,65-74,F,5,3,60.0
SEG00088,FUH,DSNP,45-64,F,5,3,60.0
SEG00104,MRP,DSNP,75+,F,5,3,60.0
SEG00117,MRP,PPO,75+,M,5,3,60.0
SEG00149,TRC,HMO,45-64,F,5,3,60.0
SEG00158,TRC,MAPD,45-64,M,5,3,60.0
SEG00012,AWC,PPO,65-74,F,5,4,80.0
SEG00023,CBP,HMO,18-44,F,5,4,80.0
SEG00024,CBP,HMO,18-44,M,5,4,80.0
SEG00114,MRP,PPO,65-74,F,5,4,80.0
SEG00120,OMW,HMO,75+,F,5,4,80.0
SEG00169,TRC,PPO,75+,M,5,4,80.0
SEG00083,COL,PPO,45-64,M,6,0,0.0
SEG00119,OMW,DSNP,75+,F,6,1,16.67
SEG00006,AWC,HMO,75+,F,6,2,33.33
SEG00064,COA,MAPD,75+,F,6,2,33.33
SEG00079,COL,MAPD,45-64,M,6,2,33.33
SEG00099,FUH,PPO,18-44,M,6,2,33.33
SEG00139,TRC,DSNP,18-44,F,6,2,33.33
SEG00153,TRC,HMO,75+,F,6,2,33.33
SEG00156,TRC,MAPD,18-44,M,6,2,33.33
SEG00163,TRC,PPO,18-44,M,6,2,33.33
SEG00074,COL,HMO,45-64,F,6,3,50.0
SEG00112,MRP,MAPD,75+,F,6,3,50.0
SEG00142,TRC,DSNP,45-64,M,6,3,50.0
SEG00098,FUH,PPO,18-44,F,6,4,66.67
SEG00147,TRC,HMO,18-44,F,6,5,83.33
SEG00101,FUH,PPO,45-64,M,7,2,28.57
SEG00165,TRC,PPO,45-64,M,7,2,28.57
SEG00071,COL,DSNP,45-64,M,7,4,57.14
SEG00121,OMW,MAPD,75+,F,7,4,57.14
SEG00097,FUH,MAPD,45-64,M,8,4,50.0
SEG00086,FUH,DSNP,18-44,F,8,5,62.5
SEG00091,FUH,HMO,18-44,M,9,5,55.56
SEG00089,FUH,DSNP,45-64,M,10,5,50.0
SEG00148,TRC,HMO,18-44,M,10,7,70.0
